,balance_,duration_,history_,purpose_,amount_,savings_,employment_,available_income_,status_sex_,other_debtors_,residence_,assets_,age_,other_loans_,housing_,previous_loans_,job_,people_liable_,telephone_,foreign_worker_,classification_
513,no balance,12,no problems with current loans,furniture,585,no savings account at this bank,between 1 and 4 years,less than 20%,female,co-applicant,more than 7 years,real estate,20,no additional loans,rent,2 or 3,skilled,0 to 2,none,no,Approved
514,above 200 EUR,24,paid back all previous loans,other,2255,above 1000 EUR,less than 1 year,less than 20%,male married or widowed,none,less than 1 year,life insurance,54,no additional loans,own,1,skilled,0 to 2,none,no,Approved
515,no account,6,paid back previous loans at this bank,other,609,no savings account at this bank,between 4  and 7 years,less than 20%,male single,none,between 4 and 7 years,life insurance,37,no additional loans,own,2 or 3,skilled,0 to 2,none,yes,Approved
516,no account,6,paid back previous loans at this bank,other,1361,no savings account at this bank,less than 1 year,between 25 and 35%,male married or widowed,none,more than 7 years,real estate,40,no additional loans,own,1,unskilled (permanent resident),3 and more,none,yes,Approved
517,above 200 EUR,36,paid back previous loans at this bank,used car,7127,no savings account at this bank,less than 1 year,between 25 and 35%,male single,none,more than 7 years,life insurance,23,no additional loans,rent,2 or 3,skilled,0 to 2,yes,no,Rejected
518,no account,6,paid back all previous loans,other,1203,below 100 EUR,more than 7 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,life insurance,43,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
519,above 200 EUR,6,paid back previous loans at this bank,furniture,700,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,36,no additional loans,for free,2 or 3,skilled,0 to 2,none,no,Approved
520,above 200 EUR,24,paid back previous loans at this bank,domestic appliances,5507,no savings account at this bank,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,none,44,no additional loans,for free,2 or 3,skilled,0 to 2,none,no,Approved
521,no account,18,paid back all previous loans,furniture,3190,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,between 1 and 4 years,real estate,24,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
522,no account,48,delay payment of previous loans,used car,7119,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,more than 7 years,none,53,no additional loans,for free,2 or 3,skilled,3 and more,none,no,Rejected
523,above 200 EUR,24,paid back all previous loans,new car,3488,below 100 EUR,between 4  and 7 years,between 20 and 25%,male single,none,more than 7 years,car,23,no additional loans,own,1,skilled,0 to 2,none,no,Approved
524,no balance,18,paid back all previous loans,furniture,1113,no savings account at this bank,between 1 and 4 years,less than 20%,male single,guarantor,more than 7 years,real estate,26,no additional loans,own,1,unskilled (permanent resident),3 and more,none,no,Approved
525,no balance,26,paid back all previous loans,new car,7966,no savings account at this bank,less than 1 year,between 25 and 35%,male married or widowed,none,between 4 and 7 years,car,30,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
526,above 200 EUR,15,paid back previous loans at this bank,repair,1532,below 100 EUR,between 1 and 4 years,less than 20%,male single,none,between 4 and 7 years,car,31,no additional loans,own,1,skilled,0 to 2,none,no,Approved
527,above 200 EUR,4,paid back previous loans at this bank,furniture,1503,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,less than 1 year,real estate,42,no additional loans,own,2 or 3,unskilled (permanent resident),3 and more,none,no,Approved
528,no account,36,paid back all previous loans,furniture,2302,no savings account at this bank,between 1 and 4 years,less than 20%,male divorced,none,more than 7 years,car,31,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
529,no account,6,paid back all previous loans,other,662,no savings account at this bank,less than 1 year,between 20 and 25%,male married or widowed,none,more than 7 years,real estate,41,no additional loans,own,1,unskilled (permanent resident),3 and more,yes,no,Approved
530,no balance,36,paid back all previous loans,repair,2273,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,none,less than 1 year,car,32,no additional loans,own,2 or 3,skilled,3 and more,none,no,Approved
531,no balance,15,paid back all previous loans,other,2631,below 100 EUR,between 1 and 4 years,between 25 and 35%,male single,none,more than 7 years,car,28,no additional loans,rent,2 or 3,skilled,0 to 2,yes,no,Rejected
532,above 200 EUR,12,no problems with current loans,new car,1503,no savings account at this bank,between 1 and 4 years,less than 20%,female,none,more than 7 years,real estate,41,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
533,above 200 EUR,24,paid back all previous loans,furniture,1311,below 100 EUR,between 4  and 7 years,less than 20%,female,none,between 4 and 7 years,life insurance,26,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
534,above 200 EUR,24,paid back all previous loans,furniture,3105,above 1000 EUR,less than 1 year,less than 20%,male married or widowed,none,between 1 and 4 years,car,25,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
535,below 200 EUR,21,paid back previous loans at this bank,repair,2319,no savings account at this bank,less than 1 year,between 25 and 35%,male divorced,none,less than 1 year,car,33,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
536,no account,6,paid back all previous loans,other,1374,above 1000 EUR,unemployed,less than 20%,male single,none,between 4 and 7 years,life insurance,75,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
537,no balance,18,paid back previous loans at this bank,used car,3612,no savings account at this bank,more than 7 years,between 20 and 25%,male single,none,more than 7 years,life insurance,37,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
538,no account,48,paid back all previous loans,other,7763,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,42,at other banks,for free,1,executive or self-employed,0 to 2,none,no,Rejected
539,below 200 EUR,18,paid back all previous loans,used car,3049,no savings account at this bank,less than 1 year,more than 35%,male single,none,less than 1 year,life insurance,45,at department store,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
540,no balance,12,paid back all previous loans,furniture,1534,no savings account at this bank,less than 1 year,more than 35%,female,none,less than 1 year,real estate,23,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
541,above 200 EUR,24,no problems with current loans,other,2032,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,60,no additional loans,for free,2 or 3,skilled,0 to 2,yes,no,Approved
542,no account,30,paid back all previous loans,used car,6350,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,31,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
543,below 200 EUR,18,paid back all previous loans,used car,2864,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,less than 1 year,real estate,34,no additional loans,own,1,unskilled (permanent resident),3 and more,none,no,Rejected
544,above 200 EUR,12,paid back previous loans at this bank,other,1255,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,61,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
545,no account,24,no problems with current loans,other,1333,no savings account at this bank,unemployed,less than 20%,male married or widowed,none,between 1 and 4 years,real estate,43,no additional loans,for free,2 or 3,skilled,3 and more,none,no,Rejected
546,above 200 EUR,24,paid back previous loans at this bank,other,2022,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,more than 7 years,car,37,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
547,above 200 EUR,24,paid back all previous loans,furniture,1552,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,none,less than 1 year,car,32,at other banks,own,1,skilled,3 and more,none,no,Approved
548,no account,12,other loans exist at other banks,furniture,626,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,more than 7 years,real estate,24,at other banks,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
549,above 200 EUR,48,paid back previous loans at this bank,new car,8858,above 1000 EUR,between 4  and 7 years,between 25 and 35%,male married or widowed,none,less than 1 year,none,35,no additional loans,for free,2 or 3,skilled,0 to 2,yes,no,Approved
550,above 200 EUR,12,paid back previous loans at this bank,domestic appliances,996,above 1000 EUR,between 4  and 7 years,less than 20%,male single,none,more than 7 years,real estate,23,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
551,above 200 EUR,6,other loans exist at other banks,furniture,1750,between 100 and 500 EUR,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,life insurance,45,at other banks,own,1,unskilled (permanent resident),3 and more,none,no,Approved
552,no account,48,paid back all previous loans,furniture,6999,no savings account at this bank,between 4  and 7 years,more than 35%,female,guarantor,less than 1 year,real estate,34,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Rejected
553,no balance,12,paid back previous loans at this bank,other,1995,below 100 EUR,less than 1 year,less than 20%,male married or widowed,none,less than 1 year,car,27,no additional loans,own,1,skilled,0 to 2,none,no,Approved
554,no balance,9,paid back all previous loans,repair,1199,no savings account at this bank,between 4  and 7 years,less than 20%,male single,none,more than 7 years,life insurance,67,no additional loans,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
555,no balance,12,paid back all previous loans,furniture,1331,no savings account at this bank,less than 1 year,between 25 and 35%,male married or widowed,none,less than 1 year,car,22,at department store,own,1,skilled,0 to 2,none,no,Rejected
556,no balance,18,delay payment of previous loans,other,2278,below 100 EUR,less than 1 year,between 20 and 25%,male single,none,between 4 and 7 years,car,28,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Rejected
557,above 200 EUR,21,delay payment of previous loans,other,5003,above 1000 EUR,between 1 and 4 years,more than 35%,male single,none,more than 7 years,life insurance,29,at other banks,own,2 or 3,skilled,0 to 2,yes,no,Rejected
558,no account,24,other loans exist at other banks,used car,3552,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,car,27,at other banks,own,1,skilled,0 to 2,none,no,Rejected
559,no balance,18,paid back previous loans at this bank,used car,1928,no savings account at this bank,less than 1 year,between 25 and 35%,male married or widowed,none,between 1 and 4 years,real estate,31,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Rejected
560,no account,24,paid back all previous loans,new car,2964,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,49,at other banks,for free,1,skilled,3 and more,yes,no,Approved
561,no account,24,other loans exist at other banks,furniture,1546,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,guarantor,more than 7 years,car,24,at other banks,rent,1,unskilled (permanent resident),0 to 2,none,no,Rejected
562,below 200 EUR,6,no problems with current loans,furniture,683,no savings account at this bank,less than 1 year,between 25 and 35%,male single,none,less than 1 year,life insurance,29,at other banks,own,1,skilled,0 to 2,none,no,Approved
563,no balance,36,paid back all previous loans,other,12389,above 1000 EUR,between 1 and 4 years,more than 35%,male married or widowed,none,more than 7 years,none,37,no additional loans,for free,1,skilled,0 to 2,yes,no,Rejected
564,no balance,24,no problems with current loans,retraining,4712,above 1000 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,37,at other banks,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
565,no balance,24,no problems with current loans,furniture,1553,below 100 EUR,between 4  and 7 years,between 20 and 25%,male single,none,between 1 and 4 years,life insurance,23,no additional loans,rent,2 or 3,skilled,0 to 2,yes,no,Approved
566,no account,12,paid back all previous loans,other,1372,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male divorced,none,between 4 and 7 years,car,36,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
567,above 200 EUR,24,paid back previous loans at this bank,furniture,2578,between 500 and 1000 EUR,more than 7 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,34,no additional loans,own,1,skilled,0 to 2,none,no,Approved
568,no balance,48,paid back all previous loans,furniture,3979,above 1000 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,less than 1 year,car,41,no additional loans,own,2 or 3,skilled,3 and more,yes,no,Approved
569,no account,48,paid back all previous loans,furniture,6758,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male single,none,between 1 and 4 years,car,31,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
570,no account,24,paid back all previous loans,used car,3234,no savings account at this bank,less than 1 year,less than 20%,male single,none,more than 7 years,real estate,23,no additional loans,rent,1,unskilled (permanent resident),0 to 2,yes,no,Rejected
571,above 200 EUR,30,paid back previous loans at this bank,furniture,5954,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,co-applicant,between 1 and 4 years,car,38,no additional loans,own,1,skilled,0 to 2,none,no,Approved
572,above 200 EUR,24,paid back all previous loans,new car,5433,above 1000 EUR,unemployed,between 25 and 35%,male single,none,more than 7 years,life insurance,26,no additional loans,rent,1,executive or self-employed,0 to 2,yes,no,Approved
573,no account,15,paid back all previous loans,retraining,806,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,more than 7 years,life insurance,22,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
574,no balance,9,paid back all previous loans,furniture,1082,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,27,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
575,above 200 EUR,15,paid back previous loans at this bank,used car,2788,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male single,co-applicant,between 4 and 7 years,car,24,at other banks,own,2 or 3,skilled,0 to 2,none,no,Approved
576,no balance,12,paid back all previous loans,furniture,2930,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male single,none,less than 1 year,real estate,27,no additional loans,own,1,skilled,0 to 2,none,no,Approved
577,above 200 EUR,24,paid back previous loans at this bank,repair,1927,above 1000 EUR,between 1 and 4 years,between 20 and 25%,male single,none,between 1 and 4 years,car,33,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
578,no balance,36,paid back previous loans at this bank,other,2820,no savings account at this bank,less than 1 year,less than 20%,male divorced,none,more than 7 years,car,27,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Rejected
579,above 200 EUR,24,paid back all previous loans,vacation,937,no savings account at this bank,less than 1 year,less than 20%,female,none,between 4 and 7 years,car,27,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
580,no balance,18,paid back previous loans at this bank,other,1056,no savings account at this bank,more than 7 years,between 20 and 25%,male married or widowed,guarantor,between 4 and 7 years,real estate,30,at other banks,own,2 or 3,skilled,0 to 2,none,no,Rejected
581,no balance,12,paid back previous loans at this bank,other,3124,no savings account at this bank,less than 1 year,more than 35%,male married or widowed,none,between 4 and 7 years,real estate,49,at other banks,own,2 or 3,unskilled (permanent resident),3 and more,none,no,Approved
582,above 200 EUR,9,paid back all previous loans,used car,1388,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,between 1 and 4 years,real estate,26,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
583,no balance,36,paid back all previous loans,domestic appliances,2384,no savings account at this bank,less than 1 year,less than 20%,male married or widowed,none,less than 1 year,none,33,no additional loans,rent,1,unskilled (permanent resident),0 to 2,none,no,Rejected
584,above 200 EUR,12,paid back all previous loans,other,2133,above 1000 EUR,more than 7 years,less than 20%,male single,none,more than 7 years,none,52,no additional loans,for free,1,executive or self-employed,0 to 2,yes,no,Approved
585,no account,18,paid back all previous loans,used car,2039,no savings account at this bank,between 1 and 4 years,more than 35%,male single,none,more than 7 years,real estate,20,at other banks,rent,1,skilled,0 to 2,none,no,Rejected
586,no account,9,paid back previous loans at this bank,other,2799,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,real estate,36,no additional loans,rent,2 or 3,skilled,3 and more,none,no,Approved
587,no account,12,paid back all previous loans,used car,1289,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,guarantor,less than 1 year,life insurance,21,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
588,no account,18,paid back all previous loans,television,1217,no savings account at this bank,between 1 and 4 years,less than 20%,female,none,between 4 and 7 years,real estate,47,no additional loans,own,1,unskilled (permanent resident),0 to 2,yes,no,Rejected
589,no account,12,paid back previous loans at this bank,used car,2246,no savings account at this bank,more than 7 years,between 20 and 25%,male married or widowed,none,between 4 and 7 years,life insurance,60,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Rejected
590,no account,12,paid back previous loans at this bank,furniture,385,no savings account at this bank,between 4  and 7 years,less than 20%,male single,none,between 4 and 7 years,real estate,58,no additional loans,own,6 or more,unskilled (permanent resident),0 to 2,yes,no,Approved
591,no balance,24,no problems with current loans,other,1965,above 1000 EUR,between 1 and 4 years,less than 20%,male single,none,more than 7 years,car,42,no additional loans,rent,2 or 3,skilled,0 to 2,yes,no,Approved
592,above 200 EUR,21,paid back all previous loans,retraining,1572,between 500 and 1000 EUR,more than 7 years,less than 20%,male single,none,more than 7 years,real estate,36,at other banks,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
593,no balance,24,paid back all previous loans,other,2718,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male single,none,more than 7 years,life insurance,20,no additional loans,rent,1,unskilled (permanent resident),0 to 2,yes,no,Rejected
594,no account,24,other loans exist at other banks,business,1358,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,car,40,at department store,own,1,executive or self-employed,0 to 2,yes,no,Rejected
595,no balance,6,other loans exist at other banks,other,931,below 100 EUR,less than 1 year,more than 35%,male single,none,less than 1 year,life insurance,32,at department store,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
596,no account,24,paid back all previous loans,other,1442,no savings account at this bank,between 4  and 7 years,less than 20%,male single,none,more than 7 years,car,23,no additional loans,rent,2 or 3,skilled,0 to 2,none,no,Rejected
597,no balance,24,delay payment of previous loans,retraining,4241,no savings account at this bank,between 1 and 4 years,more than 35%,male married or widowed,none,more than 7 years,real estate,36,no additional loans,own,4 or 5,unskilled (permanent resident),0 to 2,yes,no,Rejected
598,above 200 EUR,18,paid back previous loans at this bank,other,2775,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,life insurance,31,at other banks,own,2 or 3,skilled,0 to 2,none,no,Rejected
599,above 200 EUR,24,no problems with current loans,retraining,3863,no savings account at this bank,between 1 and 4 years,more than 35%,male married or widowed,none,between 1 and 4 years,none,32,no additional loans,for free,1,skilled,0 to 2,none,no,Approved
600,no balance,7,paid back all previous loans,furniture,2329,no savings account at this bank,less than 1 year,more than 35%,male single,guarantor,less than 1 year,real estate,45,no additional loans,own,1,skilled,0 to 2,none,no,Approved
601,no balance,9,paid back all previous loans,used car,918,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,less than 1 year,life insurance,30,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
602,no balance,24,other loans exist at other banks,repair,1837,no savings account at this bank,between 4  and 7 years,less than 20%,male single,none,more than 7 years,none,34,at other banks,for free,1,unskilled (permanent resident),0 to 2,none,no,Rejected
603,above 200 EUR,36,paid back all previous loans,used car,3349,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,between 1 and 4 years,car,28,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Rejected
604,below 200 EUR,10,paid back all previous loans,used car,1275,no savings account at this bank,less than 1 year,less than 20%,male single,none,between 1 and 4 years,life insurance,23,no additional loans,own,1,skilled,0 to 2,none,no,Approved
605,no account,24,other loans exist at other banks,used car,2828,between 100 and 500 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,real estate,22,at department store,own,1,skilled,0 to 2,yes,no,Approved
606,above 200 EUR,24,paid back previous loans at this bank,retraining,4526,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,real estate,74,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
607,no balance,36,paid back all previous loans,furniture,2671,below 100 EUR,between 1 and 4 years,less than 20%,male single,co-applicant,more than 7 years,none,50,no additional loans,for free,1,skilled,0 to 2,none,no,Rejected
608,above 200 EUR,18,paid back all previous loans,furniture,2051,no savings account at this bank,less than 1 year,less than 20%,male married or widowed,none,less than 1 year,real estate,33,no additional loans,own,1,skilled,0 to 2,none,no,Approved
609,above 200 EUR,15,paid back all previous loans,new car,1300,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,45,at other banks,for free,1,skilled,3 and more,none,no,Approved
610,no account,12,paid back all previous loans,television,741,below 100 EUR,unemployed,less than 20%,male single,none,between 4 and 7 years,life insurance,22,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
611,below 200 EUR,10,paid back all previous loans,other,1240,below 100 EUR,more than 7 years,more than 35%,male single,none,more than 7 years,none,48,no additional loans,for free,1,unskilled (permanent resident),3 and more,none,no,Rejected
612,no account,21,paid back all previous loans,furniture,3357,between 500 and 1000 EUR,less than 1 year,less than 20%,male single,none,between 1 and 4 years,car,29,at other banks,own,1,skilled,0 to 2,none,no,Approved
613,no account,24,other loans exist at other banks,new car,3632,no savings account at this bank,between 1 and 4 years,more than 35%,male single,guarantor,more than 7 years,car,22,at other banks,rent,1,skilled,0 to 2,none,yes,Approved
614,above 200 EUR,18,no problems with current loans,used car,1808,no savings account at this bank,between 4  and 7 years,less than 20%,male single,none,less than 1 year,real estate,22,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
615,no balance,48,delay payment of previous loans,retraining,12204,above 1000 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,48,at other banks,own,1,executive or self-employed,0 to 2,yes,no,Approved
616,no balance,60,no problems with current loans,furniture,9157,above 1000 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,none,27,no additional loans,for free,1,executive or self-employed,0 to 2,none,no,Approved
617,no account,6,paid back previous loans at this bank,other,3676,no savings account at this bank,between 1 and 4 years,more than 35%,male married or widowed,none,between 4 and 7 years,real estate,37,no additional loans,rent,4 or 5,skilled,3 and more,none,no,Approved
618,no balance,30,paid back all previous loans,used car,3441,below 100 EUR,between 1 and 4 years,between 25 and 35%,male single,co-applicant,more than 7 years,car,21,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
619,above 200 EUR,12,paid back all previous loans,other,640,no savings account at this bank,between 1 and 4 years,less than 20%,male divorced,none,between 1 and 4 years,real estate,49,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
620,no balance,21,paid back previous loans at this bank,retraining,3652,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,between 4 and 7 years,life insurance,27,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
621,above 200 EUR,18,paid back previous loans at this bank,other,1530,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,life insurance,32,at other banks,own,2 or 3,skilled,0 to 2,none,no,Rejected
622,above 200 EUR,48,paid back all previous loans,retraining,3914,above 1000 EUR,between 1 and 4 years,less than 20%,male divorced,none,between 1 and 4 years,real estate,38,at other banks,own,1,skilled,0 to 2,none,no,Rejected
623,no account,12,paid back all previous loans,used car,1858,no savings account at this bank,less than 1 year,less than 20%,male single,none,less than 1 year,car,22,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
624,no account,18,paid back all previous loans,furniture,2600,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,none,65,no additional loans,for free,2 or 3,skilled,0 to 2,none,no,Rejected
625,above 200 EUR,15,paid back all previous loans,furniture,1979,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,35,no additional loans,own,1,skilled,0 to 2,none,no,Approved
626,below 200 EUR,6,paid back all previous loans,used car,2116,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,real estate,41,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
627,no balance,9,other loans exist at other banks,other,1437,below 100 EUR,between 4  and 7 years,between 25 and 35%,male married or widowed,none,between 4 and 7 years,none,29,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
628,above 200 EUR,42,paid back previous loans at this bank,used car,4042,between 100 and 500 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,real estate,36,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
629,above 200 EUR,9,paid back all previous loans,repair,3832,above 1000 EUR,more than 7 years,more than 35%,male married or widowed,none,more than 7 years,real estate,64,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
630,no account,24,paid back all previous loans,furniture,3660,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,more than 7 years,car,28,no additional loans,own,1,skilled,0 to 2,none,no,Approved
631,no account,18,other loans exist at other banks,used car,1553,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 4 and 7 years,car,44,at other banks,own,1,skilled,0 to 2,none,no,Rejected
632,no balance,15,paid back all previous loans,furniture,1444,above 1000 EUR,less than 1 year,less than 20%,male married or widowed,none,less than 1 year,life insurance,23,no additional loans,own,1,skilled,0 to 2,none,no,Approved
633,above 200 EUR,9,paid back all previous loans,used car,1980,no savings account at this bank,less than 1 year,between 25 and 35%,male single,co-applicant,between 1 and 4 years,car,19,no additional loans,rent,2 or 3,skilled,0 to 2,none,no,Rejected
634,no balance,24,paid back all previous loans,other,1355,no savings account at this bank,less than 1 year,between 20 and 25%,male single,none,more than 7 years,car,25,no additional loans,own,1,unskilled (permanent resident),0 to 2,yes,no,Rejected
635,above 200 EUR,12,paid back all previous loans,repair,1393,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,47,at other banks,own,4 or 5,skilled,3 and more,yes,no,Approved
636,above 200 EUR,24,paid back all previous loans,furniture,1376,between 100 and 500 EUR,between 4  and 7 years,less than 20%,male single,none,less than 1 year,car,28,no additional loans,own,1,skilled,0 to 2,none,no,Approved
637,above 200 EUR,60,no problems with current loans,furniture,15653,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,car,21,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
638,above 200 EUR,12,paid back all previous loans,furniture,1493,no savings account at this bank,less than 1 year,less than 20%,male single,none,between 4 and 7 years,car,34,no additional loans,own,1,skilled,3 and more,none,no,Approved
639,no account,42,no problems with current loans,furniture,4370,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,life insurance,26,at other banks,own,2 or 3,skilled,3 and more,yes,no,Rejected
640,no account,18,paid back all previous loans,repair,750,no savings account at this bank,unemployed,less than 20%,male single,none,less than 1 year,real estate,27,no additional loans,own,1,unskilled (non-resident),0 to 2,none,no,Rejected
641,no balance,15,paid back all previous loans,domestic appliances,1308,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,38,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
642,above 200 EUR,15,paid back all previous loans,repair,4623,below 100 EUR,between 1 and 4 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,life insurance,40,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Rejected
643,above 200 EUR,24,paid back previous loans at this bank,furniture,1851,no savings account at this bank,between 4  and 7 years,less than 20%,female,guarantor,between 1 and 4 years,car,33,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
644,no account,18,paid back previous loans at this bank,furniture,1880,no savings account at this bank,between 4  and 7 years,less than 20%,female,none,less than 1 year,life insurance,32,no additional loans,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
645,above 200 EUR,36,no problems with current loans,retraining,7980,above 1000 EUR,less than 1 year,less than 20%,male married or widowed,none,more than 7 years,car,27,no additional loans,rent,2 or 3,skilled,0 to 2,yes,no,Rejected
646,no account,30,delay payment of previous loans,used car,4583,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male divorced,guarantor,between 1 and 4 years,real estate,32,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
